GEOID_TRACT_20,GEOID_TRACT_10
13051010807,13051010807
13051010810,13051010803
13051010811,13051010700
13051010811,13051010801
13051010811,13051010803
13051010812,13051010803
13051010812,13051010809
13051010813,13051010808
13051010814,13051010808
13051010815,13051010808
13051010816,13051010809
13051010817,13051010809
13051010818,13051010802
13051010818,13051010808
13051010819,13051010802
13051010819,13051010809
13051010820,13051010802
13051010821,13051010802
13051010821,13051010808
13051010901,13051004212
13051010901,13051010901
13051011004,13051011003
13051011004,13051011004
13051011005,13051011005
13051011005,13051011006
13051011005,13051011500
13051011006,13051011006
13051011007,13051011003
13051011008,13051011003
13051011104,13051011104
13051011104,13051011107
13051011104,13051011108
13051011107,13051010102
13051011107,13051011104
13051011107,13051011107
13051011108,13051011108
13051011108,13051011109
13051011110,13051011103
13051011111,13051011103
13051011112,13051011109
13051011113,13051011109
13051011114,13051011106
13051011115,13051010102
13051011115,13051011106
13051011115,13051011107
13051011200,13051011200
13051011300,13051011300
13051011400,13051011400
13051011500,13051010901
13051011500,13051011500
13051011600,13051011600
13051011600,13051980000
13051011700,13051000100
13051011700,13051000300
13051011800,13051000300
13051011800,13051010101
13051011800,13051010605
13051011800,13051980000
13051011900,13051000900
13051011900,13051001500
13051980000,13051011600
13051980000,13051980000
13051990000,13051011103
13051990000,13051990000
13053020100,13053020100
13053020100,13053020203
13053020100,13053020206
13053020201,13053020201
13053020203,13053020100
13053020203,13053020203
13053020203,13215011500
13053020205,13053020205
13053020206,13053020203
13053020206,13053020206
13053020206,13215010802
13055010100,13055010100
13055010201,13055010200
13055010202,13055010200
13055010202,13055010500
13055010300,13055010300
13055010300,13055010600
13055010401,13055010400
13055010402,13055010400
13055010501,13055010500
13055010502,13055010500
13055010600,13055010600
13057090101,13057090100
13057090102,13057090100
13057090102,13057090200
13057090103,13057090100
13057090201,13057090200
13057090202,13057090200
13057090301,13057090300
13057090302,13057090300
13057090303,13057090300
13057090303,13057090400
13057090401,13057090300
13057090401,13057090400
13057090402,13057090400
13057090503,13057090502
13057090504,13057090502
13057090505,13057090502
13057090506,13057090501
13057090507,13057090501
13057090603,13057090602
13057090604,13057090602
13057090605,13057090300
13057090605,13057090601
13057090606,13057090601
13057090703,13057090702
13057090704,13057090702
13057090705,13057090701
13057090706,13057090701
13057090707,13057090701
13057090707,13057090702
13057090708,13057090701
13057090708,13057090702
13057090709,13057090701
13057090710,13057090701
13057090710,13057090702
13057090710,13057091008
13057090805,13057090804
13057090806,13057090804
13057090807,13057090803
13057090808,13057090803
13057090809,13057090802
13057090810,13057090802
13057090905,13057090904
13057090905,13057090905
13057090906,13057090902
13057090907,13057090902
13057090908,13057090902
13057090909,13057090904
13057090910,13057090904
13057090911,13057090901
13057090912,13057090901
13057091001,13057090904
13057091001,13057091001
13057091006,13057091006
13057091006,13057091101
13057091006,13057091102
13057091007,13057091007
13057091009,13057091001
13057091009,13057091007
13057091009,13057091008
13057091010,13057091008
13057091011,13057091005
13057091012,13057091001
13057091012,13057091005
13057091013,13057091003
13057091014,13057091003
13057091014,13057091102
13057091101,13057091101
13057091104,13057091102
13057091104,13057091103
13057091104,13067030107
13057091105,13057091102
13057091106,13057091102
13057091107,13057091103
13057091108,13057091103
13059000100,13059000100
13059000401,13059000401
13059000402,13059000402
13059000600,13059000600
13059000900,13059000900
13059001200,13059001200
13059001700,13059001700
13059001800,13059001800
13059001900,13059001900
13059001900,13059130300
13059002000,13059002000
13059002100,13059002100
13059002200,13059002200
13059030101,13059030100
13059030102,13059030100
13059030200,13059030200
13059130300,13059130300
13059130300,13059140300
13059130400,13059130400
13059130500,13059130500
13059130500,13059130700
13059130601,13059130600
13059130602,13059130600
13059130701,13059130700
13059130702,13059130500
13059130702,13059130700
13059140300,13059140300
13059140400,13059140400
13059140500,13059140500
13059140600,13059140600
13059150300,13059150300
13059150400,13059000401
13059150400,13059150300
13059150400,13059150400
13059150500,13059150500
13059150600,13059150600
13059150701,13059150700
13059150702,13059150700
13059150800,13059150800
13059150900,13059150900
13061960300,13061960300
13063040202,13063040202
13063040202,13063040204
13063040202,13063040308
13063040202,13063040520
13063040203,13063040203
13063040203,13063040509
13063040204,13063040204
13063040302,13063040302
13063040302,13063040308
13063040306,13063040306
13063040306,13063040308
13063040307,13063040307
13063040308,13063040308
13063040309,13063040303
13063040310,13063040302
13063040310,13063040303
13063040310,13063040410
13063040407,13063040407
13063040407,13063040408
13063040407,13063040410
13063040409,13063040409
13063040410,13063040407
13063040410,13063040410
13063040414,13063040414
13063040414,13063040415
13063040416,13063040416
13063040417,13063040417
13063040418,13063040408
13063040419,13063040408
13063040420,13063040411
13063040421,13063040410
13063040421,13063040411
13063040421,13151070109
13063040422,13063040202
13063040422,13063040415
13063040423,13063040415
13063040424,13063040412
13063040425,13063040412
13063040426,13063040413
13063040427,13063040413
13063040427,13063040616
13063040509,13063040509
13063040510,13063040510
13063040510,13063040522
13063040512,13063040512
13063040512,13063040522
13063040512,13063040523
13063040513,13063040513
13063040513,13063040523
13063040518,13063040518
13063040519,13063040519
13063040519,13063040522
13063040521,13063040521
13063040522,13063040521
13063040522,13063040522
13063040523,13063040523
13063040525,13063040525
13063040527,13063040514
13063040528,13063040514
13063040529,13063040515
13063040530,13063040515
13063040531,13063040520
13063040532,13063040520
13063040533,13063040524
13063040534,13063040524
13063040535,13063040516
13063040536,13063040516
13063040537,13063040526
13063040538,13063040526
13063040606,13063040606
13063040609,13063040609
13063040609,13063040616
13063040614,13063040614
13063040615,13063040614
13063040615,13063040615
13063040617,13063040617
13063040623,13063040622
13063040624,13063040620
13063040624,13063040622
13063040625,13063040606
13063040625,13063040621
13063040626,13063040621
13063040627,13063040609
13063040627,13063040613
13063040628,13063040613
13063040628,13063040614
13063040629,13063040611
13063040630,13063040611
13063040631,13063040526
13063040631,13063040612
13063040631,13063040619
13063040631,13063040620
